Code,Lable
MAJOR,GROUP 1: Managers
11,"Chief Executives, Senior"
111,Legislators and Senior
1111,Legislators  
1112,Senior Government Officials
1113,Traditional Chiefs and
1114,Senior Officials of
112,Managing Directors and
1120,Managing Directors and
12,Administrative and Commercial
121,Business Services and
1211,Finance Managers 
1212,Human Resource Managers
1213,Policy and Planning
1219,Business Services and
122,"Sales, Marketing and"
1221,Sales and Marketing
1222,Advertising and Public
1223,Research and Development
13,Production and Specialized
131,Production Managers in
1311,Agricultural and Forestry
1312,Aquaculture and Fisheries
132,"Manufacturing, Mining, Construction"
1321,Manufacturing Managers 
1322,Mining Managers 
1323,Construction Managers 
1324,"Supply, Distribution and"
133,Information and Communications
1330,Information and Communications
134,Professional Services Managers
1341,Child Care Services
1342,Health Services Managers
1343,Aged Care Services
1344,Social Welfare Managers
1345,Education Managers 
1346,Financial and Insurance
1349,Professional Services Managers
14,"Hospitality, Retail and"
141,Hotel and Restaurant
1411,Hotel Managers 
1412,Restaurant Managers 
142,Retail and Wholesale
1420,Retail and Wholesale
143,Other Services Managers
1431,"Sports, Recreation and"
1439,Services Managers Not
,  
MAJOR,GROUP 2: Professionals
21,Science and Engineering
211,Physical and Earth
2111,Physicists and Astronomers
2112,Meteorologists  
2113,Chemists  
2114,Geologists and Geophysicists
212,"Mathematicians, Actuaries and"
2120,"Mathematicians, Actuaries and"
213,Life Science Professionals
2131,"Biologists, Botanists, Zoologists"
2132,"Farming, Forestry and"
2133,Environmental Protection Professionals
214,Engineering Professionals (excluding
2141,Industrial and Production
2142,Civil Engineers 
2143,Environmental Engineers 
2144,Mechanical Engineers 
2145,Chemical Engineers 
2146,"Mining Engineers, Metallurgists"
2149,Engineering Professionals Not
215,Electrotechnology Engineers 
2151,Electrical Engineers 
2152,Electronics Engineers 
2153,Telecommunications Engineers 
216,"Architects, Planners, Surveyors"
2161,Building Architects 
2162,Landscape Architects 
2163,Product and Garment
2164,Town and Traffic
2165,Cartographers and Surveyors
2166,Graphic and Multimedia
22,Health Professionals 
221,Medical Doctors 
2211,Generalist Medical Practitioners
2212,Specialist Medical Practitioners
222,Nursing and Midwifery
2221,Nursing Professionals 
2222,Midwifery Professionals 
223,Traditional and Complementary
2230,Traditional and Complementary
224,Paramedical Practitioners 
2240,Paramedical Practitioners 
225,Veterinarians  
2250,Veterinarians  
226,Other Health Professionals
2261,Dentists  
2262,Pharmacists  
2263,Environmental and Occupational
2264,Physiotherapists  
2265,Dieticians and Nutritionists
2266,Audiologists and Speech
2267,Optometrists and Ophthalmic
2269,Health Professionals Not
23,Teaching Professionals 
231,University and Higher
2310,University and Higher
232,Vocational Education Teachers
2320,Vocational Education Teachers
233,Secondary Education Teachers
2330,Secondary Education Teachers
234,Primary School and
2341,Primary School Teachers
2342,Early Childhood Educators
235,Other Teaching Professionals
2351,Education Methods specialists
2352,Special Needs Teachers
2353,Other Language Teachers
2354,Other Music Teachers
2355,Other Arts Teachers
2356,Information Technology Trainers
2359,Teaching Professionals Not
24,Business and Administration
241,Finance Professionals 
2411,Accountants  
2412,Financial and Investment
2413,Financial Analysts 
242,Administration Professionals 
2421,Management and Organization
2422,Policy Administration Professionals
2423,Personnel and Careers
2424,Training and Staff
243,"Sales, Marketing and"
2431,Advertising and Marketing
2432,Public Relations Professionals
2433,Technical and Medical
2434,Information and Communications
25,Information and Communications
251,Software and Applications
2511,Systems Analysts 
2512,Software Developers 
2513,Web and Multimedia
2514,Applications Programmers 
2519,Software and Applications
252,Database and Network
2521,Database Designers and
2522,Systems Administrators 
2523,Computer Network Professionals
2529,Database and Network
26,"Legal, Social and"
261,Legal Professionals 
2611,Lawyers  
2612,Judges  
2619,Legal Professionals Not
262,"Librarians, Archivists and"
2621,Archivists and Curators
2622,Librarians and Related
263,Social and Religious
2631,Economists  
2632,"Sociologists, Anthropologists and"
2633,"Philosophers, Historians and"
2634,Psychologists  
2635,Social Work and
2636,Religious Professionals 
264,"Authors, Journalists and"
2641,Authors and Related
2642,Journalists  
2643,"Translators, Interpreters and"
265,Creative and Performing
2651,Visual Artists 
2652,"Musicians, Singers and"
2653,Dancers and Choreographers
2654,"Film, Stage and"
2655,Actors  
2656,"Announcers on Radio,"
2659,Creative and Performing
,  
MAJOR,GROUP 3: Technicians
31,Science and Engineering
311,Physical and Engineering
3111,Chemical and Physical
3112,Civil Engineering Technicians
3113,Electrical Engineering Technicians
3114,Electronics Engineering Technicians
3115,Mechanical Engineering Technicians
3116,Chemical Engineering Technicians
3117,Mining and Metallurgical
3118,Draughtspersons  
3119,Physical and Engineering
312,"Mining, Manufacturing and"
3121,Mining Supervisors 
3122,Manufacturing Supervisors 
3123,Construction Supervisors 
313,Process Control Technicians
3131,Power Production Plant
3132,Incinerator and Water
3133,Chemical Processing Plant
3134,Petroleum and Natural
3135,Metal Production Process
3139,Process Control Technicians
314,Life Science Technicians
3141,Life Science Technicians
3142,Agricultural Technicians 
3143,Forestry Technicians 
315,Ship and Aircraft
3151,Ships’ Engineers 
3152,Ships’ Deck Officers
3153,Aircraft Pilots and
3154,Air Traffic Controllers
